scientific_name,longitude,latitude
Lobodon carcinophaga,-31.518734,-74.650833
Lobodon carcinophaga,-31.510021,-74.620338
Lobodon carcinophaga,-31.492876,-74.557922
Lobodon carcinophaga,-31.488142,-74.528305
Lobodon carcinophaga,-31.487883,-74.524513
Lobodon carcinophaga,-36.020538,-74.928391
Lobodon carcinophaga,-36.011497,-74.894394
Lobodon carcinophaga,-35.978073,-74.762367
Lobodon carcinophaga,-35.976879,-74.758652
Lobodon carcinophaga,-35.954708,-74.685272
Lobodon carcinophaga,-35.967388,-74.725967
Lobodon carcinophaga,-35.931358,-74.589264
Lobodon carcinophaga,-35.917503,-74.529114
Lobodon carcinophaga,-36.705807,-74.213867
Lobodon carcinophaga,-36.699619,-74.189247
Lobodon carcinophaga,-36.712643,-74.242508
Lobodon carcinophaga,-36.716629,-74.257889
Lobodon carcinophaga,-36.720291,-74.271767
Lobodon carcinophaga,-36.758781,-74.408287
Lobodon carcinophaga,-36.787117,-74.490059
Lobodon carcinophaga,-36.787766,-74.492386
Lobodon carcinophaga,-36.793598,-74.51667
Lobodon carcinophaga,-36.794571,-74.522209
Lobodon carcinophaga,-35.064098,-74.195412
Lobodon carcinophaga,-35.066032,-74.206123
Lobodon carcinophaga,-35.072029,-74.22171
Lobodon carcinophaga,-35.058739,-74.183258
Lobodon carcinophaga,-35.060799,-74.186531
Lobodon carcinophaga,-35.062347,-74.18927
Lobodon carcinophaga,-35.089314,-74.28582
Lobodon carcinophaga,-35.098274,-74.30838
Lobodon carcinophaga,-35.099358,-74.312859
Lobodon carcinophaga,-35.102592,-74.332596
Lobodon carcinophaga,-35.102592,-74.332596
Lobodon carcinophaga,-35.103516,-74.350945
Lobodon carcinophaga,-35.866962,-74.35479
Lobodon carcinophaga,-35.873417,-74.373901
Lobodon carcinophaga,-35.866352,-74.351692
Lobodon carcinophaga,-35.858913,-74.329178
Lobodon carcinophaga,-35.858913,-74.329178
Lobodon carcinophaga,-35.859802,-74.331543
Lobodon carcinophaga,-35.848118,-74.294044
Lobodon carcinophaga,-35.80761,-74.206978
Lobodon carcinophaga,-35.802982,-74.194221
Lobodon carcinophaga,-33.653225,-73.810608
Lobodon carcinophaga,-33.648003,-73.799408
Lobodon carcinophaga,-33.650887,-73.80484
Lobodon carcinophaga,-33.686935,-73.948967
Lobodon carcinophaga,-33.688686,-73.957184
Lobodon carcinophaga,-33.721855,-74.192924
Lobodon carcinophaga,-33.72559,-74.214256
Lobodon carcinophaga,-33.726864,-74.226051
Lobodon carcinophaga,-33.732079,-74.259178
Lobodon carcinophaga,-33.735748,-74.278084
Lobodon carcinophaga,-33.736183,-74.282814
Lobodon carcinophaga,-33.748863,-74.346809
Lobodon carcinophaga,-33.742687,-74.314056
Lobodon carcinophaga,-33.754363,-74.379809
Lobodon carcinophaga,-33.763863,-74.436809
Lobodon carcinophaga,-33.765363,-74.445809
Lobodon carcinophaga,-33.765863,-74.448809
Lobodon carcinophaga,-33.767863,-74.460809
Lobodon carcinophaga,-33.769363,-74.469809
Lobodon carcinophaga,-34.457458,-74.356186
Lobodon carcinophaga,-34.456936,-74.354317
Lobodon carcinophaga,-34.447508,-74.272114
Lobodon carcinophaga,-34.439508,-74.196114
Lobodon carcinophaga,-34.440308,-74.203714
Lobodon carcinophaga,-34.427647,-74.159065
Lobodon carcinophaga,-34.430393,-74.178032
Lobodon carcinophaga,-34.430103,-74.176247
Lobodon carcinophaga,-34.420425,-74.118263
Lobodon carcinophaga,-34.419186,-74.11499
Lobodon carcinophaga,-34.417156,-74.110214
Lobodon carcinophaga,-34.414562,-74.101524
Lobodon carcinophaga,-37.295628,-74.182289
Lobodon carcinophaga,-37.30188,-74.203461
Lobodon carcinophaga,-37.290394,-74.163216
Lobodon carcinophaga,-37.286186,-74.145256
Lobodon carcinophaga,-37.286186,-74.145256
Lobodon carcinophaga,-37.278385,-74.113449
Lobodon carcinophaga,-37.274956,-74.102379
Lobodon carcinophaga,-37.266087,-74.076042
Lobodon carcinophaga,-37.264633,-74.06794
Lobodon carcinophaga,-37.257004,-74.040108
Lobodon carcinophaga,-37.256893,-74.03949
Lobodon carcinophaga,-37.245781,-74.007843
Lobodon carcinophaga,-37.244152,-74.001991
Lobodon carcinophaga,-37.224838,-73.943413
Lobodon carcinophaga,-37.239914,-73.976318
Lobodon carcinophaga,-37.239174,-73.972885
Lobodon carcinophaga,-37.233078,-73.957123
Lobodon carcinophaga,-37.233078,-73.957123
Lobodon carcinophaga,-37.815601,-73.885635
Lobodon carcinophaga,-37.809956,-73.87294
Lobodon carcinophaga,-37.827717,-73.92334
Lobodon carcinophaga,-37.843216,-73.973892
Lobodon carcinophaga,-37.864235,-74.027168
Lobodon carcinophaga,-37.864235,-74.027168
Lobodon carcinophaga,-37.864235,-74.027168
Lobodon carcinophaga,-37.865009,-74.0298
Lobodon carcinophaga,-37.848679,-73.985069
Lobodon carcinophaga,-37.893631,-74.10659
Lobodon carcinophaga,-37.907608,-74.145836
Lobodon carcinophaga,-37.88673,-74.089851
Lobodon carcinophaga,-37.918972,-74.179626
Lobodon carcinophaga,-37.917503,-74.175224
Lobodon carcinophaga,-37.931858,-74.217064
Lobodon carcinophaga,-37.937595,-74.230568
Lobodon carcinophaga,-37.942589,-74.242401
Lobodon carcinophaga,-37.950569,-74.262756
Lobodon carcinophaga,-37.95644,-74.276825
Lobodon carcinophaga,-37.957436,-74.279549
Lobodon carcinophaga,-38.005257,-74.409096
Lobodon carcinophaga,-38.005047,-74.408455
Lobodon carcinophaga,-38.025177,-74.46067
Lobodon carcinophaga,-38.025177,-74.46067
Lobodon carcinophaga,-38.079899,-74.604286
Lobodon carcinophaga,-38.079899,-74.604286
Lobodon carcinophaga,-38.11451,-74.688637
Lobodon carcinophaga,-36.91782,-74.895638
Lobodon carcinophaga,-36.915661,-74.888374
Lobodon carcinophaga,-36.858807,-74.717552
Lobodon carcinophaga,-36.856525,-74.709259
Lobodon carcinophaga,-36.8489,-74.685211
Lobodon carcinophaga,-36.844181,-74.620667
Lobodon carcinophaga,-36.821991,-74.580223
Lobodon carcinophaga,-36.815025,-74.566963
Lobodon carcinophaga,-37.378056,-74.414558
Lobodon carcinophaga,-37.367889,-74.39003
Lobodon carcinophaga,-37.318928,-74.263016
Lobodon carcinophaga,-37.312027,-74.24173
Lobodon carcinophaga,-37.306458,-74.226906
Lobodon carcinophaga,-37.214333,-73.930092
Lobodon carcinophaga,-37.211121,-73.918655
Lobodon carcinophaga,-37.214333,-73.930092
Lobodon carcinophaga,-37.110344,-73.781631
Lobodon carcinophaga,-37.132801,-73.812012
Lobodon carcinophaga,-37.100403,-73.769691
Lobodon carcinophaga,-37.086136,-73.750137
Lobodon carcinophaga,-37.081562,-73.744301
Lobodon carcinophaga,-37.079102,-73.74173
Lobodon carcinophaga,-37.078278,-73.740837
Lobodon carcinophaga,-32.964203,-74.463951
Lobodon carcinophaga,-33.02713,-74.637962
Lobodon carcinophaga,-33.02496,-74.631783
Lobodon carcinophaga,-33.085842,-74.820496
Lobodon carcinophaga,-33.848457,-74.827209
Lobodon carcinophaga,-33.845596,-74.820549
Lobodon carcinophaga,-33.830242,-74.77636
Lobodon carcinophaga,-33.81786,-74.738327
Lobodon carcinophaga,-33.815266,-74.727585
